merchandise_item_id,description,unit_price,qoh,bundle_id
B000000001,"Asian Bundle",105000,20,NULL
B000000002,"Japanese Bundle",6800,93,B000000001
B000000003,"Tokyo Bundle",5000,93,B000000002
B000000004,"Gourmet Bundle",2550,56,B000000006
B000000005,"Chef's Gift Set",57500,9,B000000006
B000000006,"King's Feast",599000,5,NULL
BAMBOOBOOK,"Bamboo Notebook",200,444,NULL
CANADAMPL,"Canadian Maple Syrup",2200,251,B000000004
DRAGONPTNG,"Dragon Painting",300,23,NULL
DUTCHOVEN,"Dutch Oven",10900,16,B000000005
ITALYPASTA,"Italian Pasta Machine",49900,10,B000000005
KENYANDRUM,"Kenyan Drum",6250,14,NULL
KOILIGHT,"Koi Nightlight",2250,178,B000000002
KYOTOCBOOK,"Kyoto Cookbook",1675,123,B000000002
MAORISPEAR,"Maori Spear",50000,5,B000000006
MAYANPRYMD,"Mayan Pyramid",1450,240,NULL
TANGSCROLL,"Tang Dynasty Scroll",100000,20,B000000001
THAIMAP,"Thailand Map",4600,976,B000000001
THORSTATUE,"Thor Statue",2500,98,NULL
TOKYOGUIDE,"Downtown Tokyo Guide Book",3599,93,B000000003
TOKYONOVEL,"A Tokyo Love Story",2000,145,B000000003
USCOOKIES,"New Orleans Cookies",799,56,B000000004
